addr,token,result
56,150995425,"sethi %hi(0x78400),g4"
60,271180655,"illtrap 0x29e36f"
72,184551680,"sethi %hi(0x240000),g5"
156,150997248,"sethi %hi(0x240000),g4"
160,3815712335,"prefetch [i4+0x64f],0x11"
164,4134406912,"ldstub [i0+g0],i3"
212,188811520,"fbug,pn %fcc0,0x424d4"
324072,9109985,"bn 0x30f96c"
324076,320277248,"sethi %hi(0x5c2c0000),o1"
324080,150997248,"sethi %hi(0x240000),g4"
324084,2150912000,"orn l1,g0,g0"
324092,2519683945,"andn i5,o1,o3"
788908,3425700672,"sth g6,[g0]"
788912,3009741950,"movleu %icc,fp,i1"
788916,3815712335,"prefetch [i4+0x64f],0x11"
788920,4134467180,"ldstub [i3+-0x994],i3"
788924,4134270570,"ldstub [o7+-0x996],i3"
788928,4134139496,"ldstub [g7+-0x998],i3"
788932,184551680,"sethi %hi(0x240000),g5"
788936,1156186880,"call 0x13b415c8"
788940,2685598975,"or o3,-0x301,l0"
788944,2631138303,"umulcc o7,-0x401,sp"
788948,604045312,"illtrap 0x10000"
788952,473431039,"illtrap 0x37fbff"
788956,2251231175,"andn i4,g7,g3"
788960,2519713327,"andn i7,o7,o3"
